CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
392-56-3,,,ZQBFAOFFOQMSGJ-UHFFFAOYSA-N,InChI=1S/C6F6/c7-1-2(8)4(10)6(12)5(11)3(1)9,5.31479,-4.04518,0.133389,-0.909938,0.0518703,Perfluorobenzene
110-82-7,3880,2,XDTMQSROBMDMFD-UHFFFAOYSA-N,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,5.47872,-5.68202,-0.565812,-2.17757,-0.638723,Cyclohexane
110-74-7,,,KFNNIILCVOLYIR-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3",-0.666575,-2.23499,-1.84201,-1.81675,1.8354,Propyl Formate
77-76-9,,,HEWZVZIVELJPQZ-UHFFFAOYSA-N,"InChI=1S/C5H12O2/c1-5(2,6-3)7-4/h1-4H3",0.869318,-0.41397,-1.53377,-3.06077,-0.508318,"2,2-Dimethoxypropane"
75-05-8,410,2,WEVYAHXRMPXWCK-UHFFFAOYSA-N,InChI=1S/C2H3N/c1-2-3/h1H3,-4.65106,-4.74864,-3.28165,-0.304043,4.2989,Acetonitrile
75-65-0,,,DKGAVHZHDRPRBM-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",-3.74469,-1.25846,1.14292,-2.39924,-1.15615,tert-Butanol [2-Methylpropan-2-ol]
67-63-0,5000,3,KFZMGEQAYNKOFK-UHFFFAOYSA-N,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",-5.26444,-2.31088,0.99332,-2.39862,-1.19069,IPA [Propan-2-ol]
107-06-2,5,1,WSLDOOZREJYCGB-UHFFFAOYSA-N,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,0.449577,-4.90128,-1.44113,1.87061,2.20725,"1,2-Dichloroethane"
108-18-9,,,UAOMVDZJSHZZME-UHFFFAOYSA-N,"InChI=1S/C6H15N/c1-5(2)7-6(3)4/h5-7H,1-4H3",1.73737,1.13918,-1.37056,-2.87883,-2.66141,Diisopropylamine
110-02-1,,,YTPLMLYBLZKORZ-UHFFFAOYSA-N,InChI=1S/C4H4S/c1-2-4-5-3-1/h1-4H,1.97354,-4.43191,-1.73699,2.78925,-1.51483,Thiophene
110-71-4,100,2,XTHFKEDIFFGKHM-UHFFFAOYSA-N,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",-1.35871,0.467472,-2.50771,-2.67093,-0.395857,"Glyme [DME or 1,2-Dimethoxyethane]"
462-06-6,,,PYLWMHQQBFSUBP-UHFFFAOYSA-N,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,2.40627,-4.13794,-1.66597,1.61796,-0.0898876,Fluorobenzene
994-05-8,,,HVZJRWJGKQPSFL-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-5-6(2,3)7-4/h5H2,1-4H3",2.63178,-1.01574,-1.22264,-2.52185,-0.976246,TAME [tert-amyl methyl ether]
123-75-1,,,RWRDLPDLKQPQOW-UHFFFAOYSA-N,"InChI=1S/C4H9N/c1-2-4-5-3-1/h5H,1-4H2",-2.93596,0.0810868,-3.08506,-1.34199,-2.92342,Pyrrolidine
79-01-6,,,XSTXAVWGXDQKEL-UHFFFAOYSA-N,InChI=1S/C2HCl3/c3-1-2(4)5/h1H,3.00563,-4.40146,-0.449743,1.31188,-0.778767,Trichloroethene
142-68-7,,,DHXVGJBLRPWPCS-UHFFFAOYSA-N,InChI=1S/C5H10O/c1-2-4-6-5-3-1/h1-5H2,-0.12567,-1.52095,-2.62929,-1.72474,-1.15191,Tetrahydropyran
108-21-4,5000,3,JMMWKPVZQRWMSS-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",0.187871,-0.7808,-1.56879,-2.27746,1.01566,iso-Propyl Acetate
121-44-8,,,ZMANZCXQSJIPKH-UHFFFAOYSA-N,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",2.84839,0.21611,-1.415,-3.48401,-3.6093,Triethylamine
111-43-3,,,POLCUAVZOMRGSN-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-3-5-7-6-4-2/h3-6H2,1-2H3",2.69426,-0.662813,-0.844698,-3.21789,-0.680355,Di-n-propylether
616-38-6,,,IEJIGPNLZYLLBP-UHFFFAOYSA-N,InChI=1S/C3H6O3/c1-5-3(4)6-2/h1-2H3,-0.567427,-2.58546,-1.60665,-2.29901,1.54198,Dimethyl Carbonate
2916-31-6,,,SIJBDWPVNAYVGY-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-5(2)6-3-4-7-5/h3-4H2,1-2H3",-0.638182,-0.398033,-2.00906,-1.81581,-0.357442,"2,2-Dimethyl-1,3-dioxolane"
563-80-4,,,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",-0.823085,-0.410889,-2.49464,-1.34788,0.22587,"3-Methyl-2-butanone [MIPK, Methyl isopropyl ketone]"
7778-85-0,,,LEEANUDEDHYDTG-UHFFFAOYSA-N,"InChI=1S/C5H12O2/c1-5(7-3)4-6-2/h5H,4H2,1-3H3",-0.912612,1.09046,-2.00441,-2.44695,-0.53803,"1,2-Dimethoxypropane"
2687-91-4,,,ZFPGARUNNKGOBB-UHFFFAOYSA-N,"InChI=1S/C6H11NO/c1-2-7-5-3-4-6(7)8/h2-5H2,1H3",-3.57425,3.20311,-2.75034,-1.02615,-0.327646,NEP [1-Ethylpyrrolidin-2-one]
71-23-8,5000,3,BDERNNFJNOPAEC-UHFFFAOYSA-N,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",-5.4197,-2.98999,1.68422,-1.62393,-0.968217,Propan-1-ol
107-12-0,,,FVSKHRXBFJPNKK-UHFFFAOYSA-N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",-3.09698,-3.69138,-3.05049,-0.631003,3.69693,Proprionitrile
142-82-5,5000,3,IMNFDUFMRHMDMM-UHFFFAOYSA-N,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",7.46235,-4.17338,1.01039,-3.17418,0.0714986,n-Heptane
105-37-3,,,FKRCODPIKNYEAC-UHFFFAOYSA-N,"InChI=1S/C5H10O2/c1-3-5(6)7-4-2/h3-4H2,1-2H3",0.538726,-0.939867,-1.48334,-2.28471,1.03072,Ethyl propionate
78-92-2,5000,3,BTANRVKWQNVYAZ-UHFFFAOYSA-N,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",-3.59319,-1.74486,1.17917,-1.69234,-0.837775,Butan-2-ol
7732-18-5,,,XLYOFNOQVPJJNP-UHFFFAOYSA-N,InChI=1S/H2O/h1H2,-17.1145,-8.80606,5.56077,0.126051,0.604298,Water
64-18-6,5000,3,BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",-9.78236,-7.30311,5.73192,-0.0614243,-0.788483,Formic Acid
107-46-0,,,UQEAIHBTYFGYIE-UHFFFAOYSA-N,"InChI=1S/C6H18OSi2/c1-8(2,3)7-9(4,5)6/h1-6H3",8.22926,-0.0692801,1.69204,-1.48188,-0.018951,Hexamethyldisiloxane [M2]
108-87-2,1180,2,UAEPNZWRGJTJPN-UHFFFAOYSA-N,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",5.91508,-4.51144,0.00220696,-1.81105,-0.995321,Methylcyclohexane
75-52-5,50,2,LYGJENNIWJXYER-UHFFFAOYSA-N,InChI=1S/CH3NO2/c1-2(3)4/h1H3,-3.83989,-4.70756,-2.58611,1.87302,4.25859,Nitromethane
123-91-1,380,2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,-0.886957,0.203646,-1.94311,-1.54976,-1.13652,"1,4-Dioxane"
