CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
111-90-0,,,XXJWXESWEXIICW-UHFFFAOYSA-N,"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3",-2.04393,4.57115,0.400268,-1.17734,-0.195925,Carbitol [2-(2-ethoxyethoxy)ethanol]
98-86-2,,,KWOLFJPFCHCOCG-UHFFFAOYSA-N,"InChI=1S/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3",1.0484,1.97867,-1.09144,4.02949,0.785961,Acetophenone
872-50-4,530,2,SECXISVLQFMRJM-UHFFFAOYSA-N,"InChI=1S/C5H9NO/c1-6-4-2-3-5(6)7/h2-4H2,1H3",-3.90132,3.34375,-2.98889,0.763989,-0.161558,NMP [N-Methylpyrrolidone]
34885-03-5,,,OSINZLLLLCUKJH-UHFFFAOYSA-N,"InChI=1S/C8H16O/c1-7-2-4-8(6-9)5-3-7/h7-9H,2-6H2,1H3",-0.759562,0.509233,3.6884,-0.341782,-1.04533,4-Methylcyclohexanemethanol [MCHM]
1087696-49-8,,,WHIRALQRTSITMI-UJURSFKZSA-N,"InChI=1S/C6H8O3/c7-5-2-1-4-3-8-6(5)9-4/h4,6H,1-3H2/t4-,6+/m0/s1",-14.1574,15.4967,-3.0099,4.36439,2.3627,Dihydrolevoglucosenone (Cyrene)
96-48-0,,,YEJRWHAVMIAJKC-UHFFFAOYSA-N,InChI=1S/C4H6O2/c5-4-2-1-3-6-4/h1-3H2,-3.94934,-0.431024,-2.89993,1.62084,2.45143,Dihydrofuran-2(3H)-one [Butyrolactone]
100-51-6,,,WVDDGKGOMKODPV-UHFFFAOYSA-N,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",-2.44614,0.894494,3.6268,3.67887,-1.23662,Benzyl alcohol
103-69-5,,,OJGMBLNIHDZDGS-UHFFFAOYSA-N,"InChI=1S/C8H11N/c1-2-9-8-6-4-3-5-7-8/h3-7,9H,2H2,1H3",3.12205,-0.191582,0.973793,4.94788,-2.22555,N-Ethylaniline
79-16-3,,,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,"InChI=1S/C3H7NO/c1-3(5)4-2/h1-2H3,(H,4,5)",-8.30638,1.58203,0.645811,1.01107,-0.217258,N-Methylacetamide
119-64-2,100,2,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",6.31115,-1.16539,0.4776,2.81458,-1.74873,Tetralin
108-29-2,,,GAEKPEKOJKCEMS-UHFFFAOYSA-N,"InChI=1S/C5H8O2/c1-4-2-3-5(6)7-4/h4H,2-3H2,1H3",-2.07999,0.986893,-2.05341,1.05551,2.226,5-Methyldihydrofuran-2(3H)-one [gamma-valerolactone]
88917-22-0,,,LAVARTIQQDZFNT-UHFFFAOYSA-N,"InChI=1S/C9H18O4/c1-7(5-11-4)12-6-8(2)13-9(3)10/h7-8H,5-6H2,1-4H3",3.09955,5.81533,1.21997,-0.913607,0.771386,DPMA Glycol Ether [Dipropylene glycol methyl ether acetate]
75-12-7,220,2,ZHNUHDYFZUAESO-UHFFFAOYSA-N,"InChI=1S/CH3NO/c2-1-3/h1H,(H2,2,3)",-13.7832,-2.50553,3.64239,3.55785,0.413777,Formamide
98-95-3,,,LQNUZADURLCDLV-UHFFFAOYSA-N,InChI=1S/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H,0.852347,-0.723091,-1.52101,5.54315,2.8035,Nitrobenzene
29911-27-1,,,WEZPLQKRXDBPEP-UHFFFAOYSA-N,"InChI=1S/C9H20O3/c1-4-5-11-7-9(3)12-6-8(2)10/h8-10H,4-7H2,1-3H3",1.13119,6.82277,0.803624,-1.6561,0.398027,DPnP Glycol Ether [1-(1-propoxypropan-2-yloxy)propan-2-ol]
102-82-9,,,IMFACGCPASFAPR-UHFFFAOYSA-N,"InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3",9.03947,4.80875,2.88702,-2.02983,-2.92386,Tributylamine
143-08-8,,,ZWRUINPWMLAQRD-UHFFFAOYSA-N,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",2.0427,2.62706,5.52872,-0.425519,-0.637282,1-Nonanol
78-59-1,,,HJOVHMDZYOCNQW-UHFFFAOYSA-N,"InChI=1S/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3",0.23767,4.80323,-1.20272,1.43987,0.162161,"3,5,5-Trimethylcyclohex-2-enone [Isophorone]"
112-49-2,,,YFNKIDBQEZZDLK-UHFFFAOYSA-N,"InChI=1S/C8H18O4/c1-9-3-5-11-7-8-12-6-4-10-2/h3-8H2,1-2H3",-0.755174,9.92438,0.053861,-2.46073,-0.138356,Triglyme [Triethyleneglycol dimethyl ether]
289-80-5,,,PBMFSQRYOILNGV-UHFFFAOYSA-N,InChI=1S/C4H4N2/c1-2-4-6-5-3-1/h1-4H,-4.46695,2.3979,-2.69637,3.9672,0.260451,Pyridazine
80-73-9,,,CYSGHNMQYZDMIA-UHFFFAOYSA-N,"InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3",-2.28264,3.8017,-2.0342,1.25428,-0.365918,"DMI [1,3-dimethylimidazolidin-2-one]"
112-34-5,,,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3",-0.743199,3.67786,3.1728,-4.10058,5.58374,Butyl Carbitol [2-[2-(Butyloxy)ethoxy]ethanol]
29911-28-2,,,CUVLMZNMSPJDON-UHFFFAOYSA-N,"InChI=1S/C10H22O3/c1-4-5-6-12-8-10(3)13-7-9(2)11/h9-11H,4-8H2,1-3H3",2.40804,7.4026,1.63708,-1.40445,0.605032,DPnB Glycol Ether [Dipropylene glycol n-butyl ether]
680-31-9,,,GNOIPBMMFNIUFM-UHFFFAOYSA-N,"InChI=1S/C6H18N3OP/c1-7(2)11(10,8(3)4)9(5)6/h1-6H3",-1.45993,9.77762,-1.00489,-0.144358,-1.27009,HMPA
1600-44-8,,,ISXOBTBCNRIIQO-UHFFFAOYSA-N,InChI=1S/C4H8OS/c5-6-3-1-2-4-6/h1-4H2,-5.21401,4.90404,-2.97795,2.43274,-0.530404,Tetrahydrothiophene 1-oxide
91-22-5,,,SMWDFEZZVXVKRB-UHFFFAOYSA-N,InChI=1S/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H,0.997698,2.88115,-1.02765,5.82588,-1.51367,Quinoline
108-32-7,,,RUOJZAUFBMNUDX-UHFFFAOYSA-N,"InChI=1S/C4H6O3/c1-3-2-6-4(5)7-3/h3H,2H2,1H3",-3.56352,-0.739374,-2.16803,2.34958,4.65793,"Propylene Carbonate [4-Methyl-1,3-dioxolan-2-one]"
770-35-4,,,IBLKWZIFZMJLFL-UHFFFAOYSA-N,"InChI=1S/C9H12O2/c1-8(10)7-11-9-5-3-2-4-6-9/h2-6,8,10H,7H2,1H3",0.267422,2.80977,3.35628,4.0458,-0.798908,PPh Glycol Ether [Propylene glycol phenyl ether]
25498-49-1,,,HPFDGTFXAVIVTH-UHFFFAOYSA-N,"InChI=1S/C10H22O4/c1-8(11)5-13-10(3)7-14-9(2)6-12-4/h8-11H,5-7H2,1-4H3",1.57178,9.42668,1.45753,-0.908463,0.824127,TPM Glycol Ether [Tripropylene glycol methyl ether]
122-99-6,,,QCDWFXQBSFUVSP-UHFFFAOYSA-N,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2",-1.42132,2.28022,3.93606,4.14949,-1.05192,EPh Glycol Ether [2-phenoxyethanol]
7226-23-5,,,GUVUOGQBMYCBQP-UHFFFAOYSA-N,"InChI=1S/C6H12N2O/c1-7-4-3-5-8(2)6(7)9/h3-5H2,1-2H3",-2.43265,4.88751,-2.09733,1.46339,-1.0033,"DMPU [1,3-dimethyltetrahydropyrimidin-2(1H)-one]"
111-46-6,,,MTHSVFCYNBDYFN-UHFFFAOYSA-N,"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2",-7.96058,2.82674,3.45365,0.601903,-0.443717,Diethylene Glycol
124-17-4,,,VXQBJTKSVGFQOL-UHFFFAOYSA-N,"InChI=1S/C10H20O4/c1-3-4-5-12-6-7-13-8-9-14-10(2)11/h3-9H2,1-2H3",3.63892,7.71894,2.21787,-0.415515,1.74205,Butyl Carbitol Acetate [2-(2-Butoxyethoxy)ethyl acetate]
2832-49-7,,,IYIAWAACGTUPCC-UHFFFAOYSA-N,"InChI=1S/C8H20N2O2S/c1-5-9(6-2)13(11,12)10(7-3)8-4/h5-8H2,1-4H3",5.32758,4.98738,1.36201,0.803137,0.624822,Tetraethylsulfamide [TES]
112-59-4,,,GZMAAYIALGURDQ-UHFFFAOYSA-N,"InChI=1S/C10H22O3/c1-2-3-4-5-7-12-9-10-13-8-6-11/h11H,2-10H2,1H3",1.51749,7.50988,3.28973,-0.49155,1.04222,Hexyl Carbitol [2-[2-(Hexyloxy)ethoxy]ethanol]
25265-77-4,,,DAFHKNAQFPVRKR-UHFFFAOYSA-N,"InChI=1S/C12H24O3/c1-8(2)10(13)12(5,6)7-15-11(14)9(3)4/h8-10,13H,7H2,1-6H3",1.55829,3.62398,0.502074,-0.183229,1.15012,"2,2,4-Trimethyl-1,3-pentanediol 1-isobutyrate"
102-76-1,,,URAYPUMNDPQOKB-UHFFFAOYSA-N,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3",0.478516,8.27183,1.96447,1.5273,4.03999,"Triacetin [1,2,3-triacetoxypropane]"
101-84-8,,,USIUVYZYUHIAEV-UHFFFAOYSA-N,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H,7.94995,2.60568,2.347,6.40646,-0.595509,Diphenyl Ether
6674-22-2,,,GQHTUMJGOHRCHB-UHFFFAOYSA-N,InChI=1S/C9H16N2/c1-2-5-9-10-6-4-8-11(9)7-3-1/h1-8H2,-1.04243,8.08654,-1.61077,0.424958,-3.57208,"1,8-Diazabicycloundec-7-ene [DBU]"
55934-93-5,,,LORVPHHKJFSORQ-UHFFFAOYSA-N,"InChI=1S/C13H28O4/c1-5-6-7-15-9-12(3)17-10-13(4)16-8-11(2)14/h11-14H,5-10H2,1-4H3",4.77199,10.9534,3.7886,-0.925717,1.20125,TPnB Glycol Ether [Tripropylene glycol n-butyl ether]
143-22-6,,,COBPKKZHLDDMTB-UHFFFAOYSA-N,"InChI=1S/C10H22O4/c1-2-3-5-12-7-9-14-10-8-13-6-4-11/h11H,2-10H2,1H3",-0.397931,10.5469,3.24714,-1.54218,1.67661,"Butoxytriglycol [3,6,9-Trioxatridecan-1-ol]"
126-33-0,160,2,HXJUTPCZVOIRIF-UHFFFAOYSA-N,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,-3.9622,2.33569,-1.90485,3.56636,3.50714,Sulfolane
112-27-6,,,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,"InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2",-4.18826,6.54135,0.427493,0.629685,0.986734,Triethylene Glycol
56-81-5,,,PEDCQBHIVMGVHV-UHFFFAOYSA-N,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",-11.292,1.48289,5.82824,3.09155,-0.187772,Glycerol
111-69-3,,,BTGRAWJCKBQKAO-UHFFFAOYSA-N,InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2,-1.80193,2.02169,0.527922,2.07302,4.6739,Hexanedinitrile
120-51-4,,,SESFRYSPDFLNCH-UHFFFAOYSA-N,"InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",7.9342,5.18385,3.82671,5.52021,1.3553,Benzyl Benzoate
112-60-7,,,UWHCKJMYHZGTIT-UHFFFAOYSA-N,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",-1.86972,10.5113,0.644045,0.341486,1.12206,Tetraethylene glycol
102-71-6,,,GSEJCLTVZPLZKY-UHFFFAOYSA-N,"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2",-7.53647,8.01536,5.12255,1.66281,-2.40286,Triethanolamine
541-02-6,,,XMSXQFUHVRWGNA-UHFFFAOYSA-N,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3",15.681,8.59344,7.9334,0.83998,2.07318,Decamethylcyclopentasiloxane [D5]
5306-85-4,,,MEJYDZQQVZJMPP-ULAWRXDQSA-N,"InChI=1S/C8H14O4/c1-9-5-3-11-8-6(10-2)4-12-7(5)8/h5-8H,3-4H2,1-2H3/t5-,6+,7-,8-/m1/s1",-1.02462,7.19679,0.0371237,1.02998,0.753456,DMI [Dimethyl isosorbide]
